DATE,NEWYORK,NASDAQ,SHANGHAI,EURONEXT,JAPAN,SHENZHEN,HONGKONG,INDIA,SAUDI,LONDON,TORONTO,SWISS,DEUTSCHE,NASDAQNOR,AUSTRALIA,KOREA,TAIWAN,JOBURG,BRAZIL
2015-01-05,10607.67969,4652.569824,3350.519043,21.226624,1174.170776,1174.171021,146.298935,8378.400391,8106.8,2004.493652,14392.7002,8938.849609,48.943855,1454.810059,27.789,1915.75,9274.076172,7.706398,2.268106
2015-01-06,10514.87012,4592.740234,3351.446045,21.302988,1139.796509,1139.796631,146.546417,8127.350098,8057.43,1977.20874,14246.79981,8874.469727,48.712082,1454.810059,27.375483,1882.449951,9048.306641,7.691579,2.290175
2015-01-07,10627.12988,4650.470215,3373.954102,21.339167,1119.675293,1119.675171,147.949188,8102.100098,8133.39,1991.760742,14285,8900.830078,49.904022,1421.339966,27.405558,1883.829956,9080.055664,7.587838,2.380898
2015-01-08,10800.54004,4736.189941,3293.456055,20.88899,1136.024048,1136.023804,146.711472,8234.599609,8284.89,2015.407349,14457.7002,9139.69043,51.319447,1456.719971,27.593527,1904.650024,9237.996094,7.587838,2.349023
2015-01-09,10711.41016,4704.069824,3285.412109,20.643803,1148.599976,1148.599731,146.051315,8284.5,8284.89,2014.497559,14384.90039,9105.700195,50.988354,1444.459961,27.946894,1924.699951,9215.545898,7.736038,2.287723
2015-01-12,10640.74023,4664.709961,3229.315918,20.125296,1148.599976,1148.599731,147.371597,8323,8436.71,1994.489014,14265,9152.969727,51.319447,1453.640015,27.78149,1920.949951,9178.265625,7.736038,2.221518
2015-01-13,10622.95996,4661.5,3235.301025,20.70409,1151.953369,1151.953613,148.031693,8299.400391,8491.68,2053.605225,14187.2002,9285.629883,51.898861,1465.660034,27.563444,1917.140015,9231.765625,7.736038,2.226422
2015-01-14,10565.41992,4639.319824,3222.437012,20.43881,1116.740845,1116.741089,146.793976,8277.549805,8551.93,2011.769409,14084.40039,9198.200195,51.013187,1434.790039,27.495779,1913.660034,9180.196289,7.736038,2.270558
2015-01-15,10514.59961,4570.819824,3336.455078,20.96134,1117.160034,1117.159912,147.041489,8494.150391,8458.72,2050.876953,14041.79981,8400.610352,52.238228,1457.359985,27.292776,1914.140015,9165.055664,7.417409,2.26075
2015-01-16,10660.32031,4634.379883,3376.495117,21.588367,1103.32666,1103.326538,146.381454,8513.799805,8458.72,2050.876953,14309.40039,7899.589844,52.693485,1468.900024,27.322847,1888.130005,9138.255859,7.417409,2.329406
2015-01-19,10660.32031,4634.379883,3116.351074,22.319906,1125.124756,1125.124878,144.153488,8550.700195,8482.93,2077.251709,14312.5,8152.779785,53.23151,1476.310059,27.548409,1902.619995,9174.025391,7.417409,2.201902
2015-01-20,10658.62012,4654.850098,3173.052002,22.440487,1163.271729,1163.271606,145.47374,8695.599609,8483.62,2109.083496,14308.40039,8178.899902,54.2579,1491.589966,27.54089,1918.310059,9251.65625,7.417409,2.246038
2015-01-21,10720.40039,4667.419922,3323.611084,22.315887,1164.948608,1164.94873,146.463913,8729.5,8393.81,2129.091797,14560.40039,8008.549805,54.150295,1501.219971,27.916824,1921.22998,9319.675781,7.417409,2.349023
2015-01-22,10859.34961,4750.399902,3343.343994,22.508821,1168.721191,1168.721313,146.793976,8761.400391,8421.72,2164.561523,14764,7999.47998,54.713154,1523.800049,27.811562,1920.819946,9369.475586,7.417409,2.449555
2015-01-23,10788.33008,4757.879883,3351.763916,22.677635,1172.494019,1172.494263,147.949188,8835.599609,8421.72,2159.105225,14779.40039,8161.160156,55.060795,1536.390015,28.315308,1936.089966,9470.905273,7.417409,2.407871
2015-01-26,10847.15039,4771.759766,3383.181885,22.999187,1159.918335,1159.918091,150.012054,8835.599609,8480.1,2187.299316,14797.79981,8296.450195,55.524334,1554.699951,28.315308,1935.680054,9477.634766,7.987979,2.378446
2015-01-27,10781.83008,4681.5,3352.959961,23.115751,1191.7771,1191.7771,148.609314,8910.5,8686.16,2140.005859,14833.90039,8402.820313,56.169964,1533.369995,28.578463,1952.400024,9521.554688,7.987979,2.422583
2015-01-28,10603.86035,4637.990234,3305.738037,23.151924,1196.807495,1196.807373,148.031693,8914.299805,8912.5,2168.199707,14602.90039,8311.549805,56.269295,1562.540039,28.64613,1961.579956,9510.884766,7.987979,2.368639
2015-01-29,10691.62988,4683.410156,3262.304932,23.28055,1185.489014,1185.489136,147.124039,8952.349609,8878.54,2192.756104,14637.29981,8435.339844,56.608658,1570.390015,28.638617,1951.02002,9426.866211,7.987979,2.415227
2015-01-30,10537.21973,4635.240234,3210.363037,23.119774,1161.595093,1161.594849,147.371597,8808.900391,8878.54,2150.919434,14673.5,8385.129883,56.310677,1573.619995,28.676212,1949.26001,9361.875977,7.987979,2.255846
2015-02-02,10669.03027,4676.689941,3128.300049,23.228296,1126.801514,1126.801514,147.78418,8797.400391,9213.14,2130.002197,14900.5,8429.200195,56.434841,1575.949951,29.044628,1952.680054,9386.956055,7.987979,2.28527
